epoch,training_accuracy,training_f1,training_loss,validation_accuracy,validation_f1,validation_loss
1,0.5400801603206412,0.4934665982823262,1.524187952041626,0.4786910197869102,0.4610291929826192,1.382206949449721
2,0.6738476953907815,0.6197358830295255,1.228824170589447,0.5205479452054794,0.49171657611945413,1.2900115918545496
3,0.7089178356713426,0.6528518575612764,1.1252708926200867,0.5106544901065448,0.4828877343371949,1.3777556958652677
4,0.7344689378757514,0.6764764051933849,1.0507887921333312,0.563165905631659,0.5303933162500145,1.3391477494012742
5,0.7454909819639278,0.6899901833190397,1.0027474601268769,0.5273972602739726,0.4997612694789453,1.4775565607207162
6,0.7615230460921844,0.7177974256640096,0.960419150352478,0.6118721461187214,0.5739287063688338,1.3557303973606654
7,0.7690380761523046,0.7428434744017526,0.9233037197589874,0.6659056316590563,0.6344760830249107,1.2630144655704498
8,0.7938376753507014,0.7744858384988274,0.8370124945640564,0.6856925418569254,0.650477547326469,1.252148530312947
9,0.8221442885771543,0.8057529416169583,0.7675287625789642,0.6910197869101978,0.6742617139405047,1.2126876271906353
10,0.8496993987975952,0.833339316544383,0.6949518227577209,0.7016742770167428,0.6856763093756287,1.2198699865312803
11,0.8582164328657313,0.8426430017303111,0.6415330196619033,0.7031963470319634,0.6859153660902219,1.2251668100555737
12,0.876753507014028,0.8609273740456206,0.5754980367422103,0.7039573820395738,0.6870135982916051,1.2721774127511751
13,0.8855210420841683,0.8714374208003721,0.5239879256486892,0.697869101978691,0.6832578181836041,1.3251185734711943
14,0.9008016032064128,0.8894548777513003,0.4788669902086258,0.6621004566210045,0.6541308788563956,1.4225342564639591
15,0.9110721442885771,0.9022508378707207,0.43827599063515665,0.6864535768645357,0.6771931461327884,1.4244825797421592
16,0.9150801603206412,0.9056677589354845,0.41710635083913805,0.6324200913242009,0.6339297173718014,1.6824984692391896
17,0.9175851703406813,0.909759557469445,0.3934074080586433,0.6582952815829528,0.6573645697647102,1.5407719330063887
18,0.9351202404809619,0.9278036381014825,0.34806347995996473,0.6012176560121765,0.6046827373402651,1.8443964308216458
19,0.9381262525050099,0.9312785010536977,0.326380936563015,0.656773211567732,0.6561210828416092,1.663375965009133
20,0.9476452905811622,0.9407112559593634,0.29315837928652766,0.6453576864535768,0.6450764864367824,1.7222933630858148
21,0.9478957915831663,0.9412984591801496,0.28247304700315,0.6461187214611872,0.6474285372935816,1.777412599396138
22,0.9519038076152304,0.9453530302646946,0.27339580860733986,0.6560121765601217,0.6530940023280661,1.819549549371004
23,0.9516533066132263,0.9449527107638871,0.25785907854139806,0.65220700152207,0.6506103106772185,1.858472122677735
24,0.9531563126252505,0.9469028335355419,0.2502265018373728,0.6582952815829528,0.6509331111620489,1.9266472969736372
25,0.9576653306613225,0.9519012096743578,0.22640537840127944,0.6529680365296804,0.6449652582869377,2.0050249965417954
26,0.9604208416833666,0.9541540266784811,0.21902085437625646,0.6407914764079148,0.6360762074766003,2.090163918478148
27,0.9609218436873747,0.9558202339361265,0.20895225651562213,0.6407914764079148,0.6424019442293879,2.006520137900398
28,0.9611723446893787,0.9562801303377501,0.2004126405864954,0.6681887366818873,0.6614667052939308,2.0017434745317413
29,0.9626753507014028,0.9581508168582503,0.19791530013084413,0.6636225266362252,0.6544369182753259,2.1040303252992176
30,0.9664328657314628,0.9622661316155945,0.17875899337977172,0.667427701674277,0.6578317165919907,2.099519415359412
31,0.9641783567134268,0.9601465861677934,0.17930986156314613,0.6605783866057838,0.6539555973041139,2.1284134376882795
32,0.970691382765531,0.967122310209359,0.1571689493767917,0.6575342465753424,0.6529660702993767,2.176985552667507
33,0.9669338677354709,0.9639335934366396,0.17469168079271913,0.6590563165905632,0.6525937806427174,2.1841176689291992
34,0.971693386773547,0.9692157599846257,0.14813850081712007,0.6750380517503805,0.6646740427282491,2.213331723042453
35,0.9681863727454909,0.9663219856566695,0.168996870521456,0.669710806697108,0.6616626438366823,2.201916306634389
36,0.9782064128256512,0.9769195346050363,0.13388478145375848,0.6712328767123288,0.6626100149475788,2.224234123115561
37,0.9746993987975952,0.9726829226120711,0.13668961318582296,0.687214611872146,0.6762636868350914,2.220260381798393
38,0.9759519038076151,0.9744660222660407,0.13693247036263348,0.6940639269406392,0.6829170022138816,2.2275462281291505
39,0.9772044088176352,0.9765233715452005,0.13806936756148935,0.687214611872146,0.6760053152962847,2.25468822086363
40,0.9762024048096192,0.9754143831903275,0.1357174417115748,0.687214611872146,0.6791361517196945,2.2230955860300345
41,0.9777054108216432,0.9769912145379177,0.1255865751206875,0.6940639269406392,0.6826040256918953,2.2357032475050627
42,0.9802104208416833,0.9798354127690067,0.11659204627200961,0.7016742770167428,0.6879749812689705,2.2501606481715237
43,0.9777054108216432,0.9771012740364365,0.125823996193707,0.6887366818873668,0.6778971357494619,2.232022861850315
44,0.9797094188376753,0.9790872372073937,0.12337102041393519,0.6925418569254185,0.6825547277705799,2.227963770944847
45,0.9814629258517034,0.9810444826135438,0.11446445810049773,0.6933028919330289,0.6839566766855669,2.2165286266411255
46,0.9814629258517034,0.9808372853515762,0.11890448329225183,0.6963470319634703,0.6862653208637375,2.2362518021060773
47,0.9837174348697394,0.9832820369378339,0.10345783781632781,0.6963470319634703,0.6851696690042088,2.247004958030413
48,0.9847194388777555,0.9842696728922855,0.09510873451456428,0.69558599695586,0.6827921262668447,2.2626639479061676
49,0.9839679358717434,0.9834084867497547,0.09741724901460111,0.6971080669710806,0.6854624579335565,2.2728804505507774
50,0.9837174348697394,0.9833431733958884,0.10277758757397533,0.6963470319634703,0.6847207066650902,2.273299101856537
